Query,Date,user,Tweet,Img_present,Likes,commnets,retweet,tags,mentions,url_count,length,cosine_similarity(%)
INDvAUS,10:29 pm · 9 Jun 2019,Mumbai Indians@mipaltan,"Terrific running catch from Jadeja who is on in place of Dhawan, this time Maxwell walks back, Chahal spins his web.

#OneFamily #CricketMeriJaan #CWC19 #TeamIndia #INDvAUS",0,356,2,25,"#OneFamily,#CricketMeriJaan,#CWC19,#TeamIndia,#INDvAUS",,0,172,19.611613513818405
INDvAUS,10:29 pm · 9 Jun 2019,SocialSaint@isocialsaint,"Pakistan right now 
#INDvAUS",1,977,33,304,#INDvAUS,,0,28,50.0
INDvAUS,10:28 pm · 9 Jun 2019,ESPNcricinfo@ESPNcricinfo,"For a tough catch, there's no better fielder than Ravindra Jadeja - Maxwell is gone and India sense a win #INDvAUS | #CWC19",1,231,7,28,"#INDvAUS,#CWC19",,2,123,20.412414523193153
INDvAUS,10:28 pm · 9 Jun 2019,Royal Challengers Bangalore@RCBTweets,Indian bowlers have pulled it back and how! Lured by @yuzi_chahal and an excellent catch by Jadeja. Danger man Maxwell is back in the pavilion! #INDvAUS #PlayBold,0,684,1,21,"#INDvAUS,#PlayBold",@yuzi_chahal,0,162,17.407765595569785
INDvAUS,10:28 pm · 9 Jun 2019,Aakash Chopra@cricketaakash,"Game. Set. Match. 
Today Dhawan has contributed even when he’s not fielding....Super catch by Jadeja. His substitute.  #IndvAus #Maxwell #CWC19",0,2.5K,30,97,"#IndvAus,#Maxwell,#CWC19",,0,143,21.320071635561042
INDvAUS,10:28 pm · 9 Jun 2019,Sagar@sagarcasm,Jadeja takes the most important catch of the match without even playing the match. 'Sir' Jadeja for a reason. #INDvAUS,0,4.1K,22,589,#INDvAUS,,0,118,18.257418583505537
INDvAUS,10:28 pm · 9 Jun 2019,Suniel Shetty@SunielVShetty,"CLINICALLY CLINICAL TEAM INDIA  !!!
#INDvAUS",0,2.1K,35,121,#INDvAUS,,0,44,44.721359549995796
INDvAUS,10:28 pm · 9 Jun 2019,Gaurav Kalra@gauravkalra75,"if jadeja takes a catch substituting for dhawan, then shouldn't he celebrate like dhawan does? #INDvAUS #CWC19",0,1.5K,10,54,"#INDvAUS,#CWC19",,0,110,22.360679774997898
INDvAUS,10:28 pm · 9 Jun 2019,Manak Gupta@manakgupta,All over..... #INDvAUS,0,346,11,15,#INDvAUS,,0,22,57.73502691896258
INDvAUS,10:28 pm · 9 Jun 2019,Cricbuzz@cricbuzz,"That should be the end of Australia's 353-run chase. Maxwell had to go for his shots, mistimes the slog-sweep and Jadeja takes a fine running catch, OUT for a 14-ball 28

#INDvAUS #CWC19",0,284,1,22,"#INDvAUS,#CWC19",,0,186,15.249857033260467
