Query,username,created_at,verified,followers_count,friends_count,listed_count,tweet,date,Img_present,likes,comments,retweets,tags,mentions,sum_followers_mention,url_count
economical crisis,"Rafa@ohsorafa·Nov 22, 2016",NA,0,0,0,0,"All I'm saying is people who say ""Obama didn't do shit as president"" need to stfu when he took us out of an economical crisis left by bush.1552","11:33 PM · Nov 22, 2016",0,52,0,15,,,0,0
economical crisis,"Dr.Yasodhara P@dr_yasodhara·Nov 22, 2016",NA,0,0,0,0,"#संसद_पुकारे_PM_प्यारे How many days PM shys away from Parliament,attending Rock Video concert,not solving India's acute economical crisis.54","3:45 AM · Nov 22, 2016",0,4,0,5,#संसद_पुकारे_PM_प्यारे,,0,0
economical crisis,"tayra@ir0ckme·Nov 9, 2016",NA,0,0,0,0,Get prepared for an economical crisis in every single way24,"5:07 AM · Nov 9, 2016",0,4,0,2,,,0,0
economical crisis,"Mayara@mayafloss·Nov 1, 2016",NA,0,0,0,0,Economical crisis at Greek and how it affects the rural practice with Theodoris #rural #RuralRio #woncario #ruralwonca22,"6:14 PM · Nov 1, 2016",1,2,0,2,"#rural,#RuralRio,#woncario,#ruralwonca",,0,0
economical crisis,"سايكو@sakogudjelian·Oct 31, 2016",NA,0,0,0,0,"So, the economical crisis has ended now? We all have jobs now?16","12:17 PM · Oct 31, 2016",0,6,1,0,,,0,0
economical crisis,"local ~mom~@breweinz·Oct 27, 2016",NA,0,0,0,0,"I hate when older people say ""oh you're young you can handle it"" like BRUH I'm trying to handle the economical crisis yall put us through312","3:16 AM · Oct 27, 2016",0,12,0,3,,,0,0
economical crisis,"Ryan Ewald@RDEMUSA·Oct 15, 2016",NA,0,0,0,0,@RealTrumpDonaId and in times of economical crisis you need an economist. you are an economist and its an economical crisis. we need you.,"11:02 PM · Oct 15, 2016",0,0,0,0,,@RealTrumpDonaId,54,0
economical crisis,"are dan and phil@initalyatm·Oct 5, 2016",NA,0,0,0,0,"Replying to @initalyatm@danisnotonfire THERE ARE MORE CRISIS OTHER THAN YOUR EXISTENTIAL ONE

LIKE OUR ECONOMICAL CRISIS
#TATINOFitaly #TATINOFpoorville514","6:01 PM · Oct 5, 2016",0,14,0,5,"#TATINOFitaly,#TATINOFpoorville","@initalyatm,@danisnotonfire",11511,0
economical crisis,"....@lilbatureIII·Sep 27, 2016",NA,0,0,0,0,May Nigeria recover from this economical crisis. Amin!4625,"8:01 PM · Sep 27, 2016",0,5,4,62,,,0,0
economical crisis,"Jef de Roode@jefderoode·Mar 5, 2016",NA,0,0,0,0,"This piano improv is for Brazil. Dealing with corruption, natural disasters, traffic and an economical crisis:Hino Nacional Brasileiro - Piano Improvisation - jefderoodesoundcloud.com489","7:36 AM · Mar 5, 2016",0,9,4,8,,,0,2
economical crisis,"Misty/ ""The Copyright Champion"" Chronexia@Chronexia·Feb 26, 2016",NA,0,0,0,0,Replying to @TheAn1meMan@TheAn1meMan i hope its about the society's economical crisis de october 1928! #Hope151,"5:36 AM · Feb 26, 2016",0,51,0,1,#Hope,"@TheAn1meMan,@TheAn1meMan",838790,0
economical crisis,"BABY BARB@EdgeDora·Feb 20, 2016",NA,0,0,0,0,Replying to @EdgeDoraYou could've reported about something else that's ACTUALLY IMPORTANT like idk the economical crisis we're going through right now????164,"4:26 AM · Feb 20, 2016",0,4,1,6,,@EdgeDora,4198,0
economical crisis,"Shatha Al Maskiry@shathamaskiry·Feb 4, 2016",NA,0,0,0,0,Sad that economical crisis has more to do with internal human conflicts of morality rather than external factors outside of our control118,"1:52 AM · Feb 4, 2016",0,8,0,11,,,0,0
economical crisis,"محمد ذیشان قیصر بھٹی@ZishanQBhattii·Dec 30, 2015",NA,0,0,0,0,"#PakRocksTheWorldThisYear
A brave & dignified woman inspiration for all the women who suffered economical crisis.1512","5:44 PM · Dec 30, 2015",1,12,0,15,#PakRocksTheWorldThisYear,,0,0
economical crisis,"inna shevchenko@femeninna·Dec 17, 2015",NA,0,0,0,0,"#Putin gives a press-conference praising his year achievements,meanwhile 80% of Russians recognised economical crisis in the country146","9:56 AM · Dec 17, 2015",0,6,1,4,#Putin,,0,0
economical crisis,"M@mawleh·Dec 1, 2015",NA,0,0,0,0,"""FOR GOD SAKE SUSAN, WE HAVE AN ECONOMICAL CRISIS ON OUR HANDS AND YOU'RE MAKING GODDAMN PANCAKES?'GIF122","12:13 PM · Dec 1, 2015",1,2,1,2,,,0,0
economical crisis,"BestAlgorithms@BestAlgorithms·Oct 19, 2015",NA,0,0,0,0,China's Economical Crisis Might Not Be The Case. #fintech #algorithm $CNTF $YHOO http://ow.ly/TxDvS25,"2:14 AM · Oct 19, 2015",0,5,0,2,"#fintech,#algorithm",,0,0
economical crisis,"WWTuner Team@WWTunerOfficial·Sep 13, 2015",NA,0,0,0,0,"Italian prime min. Renzi spends 150.000 € of taxpayers for tennis match
w/ Italy facing worst economical crisis ever74","8:42 AM · Sep 13, 2015",1,4,0,7,,,0,0
economical crisis,"La Fortaleza@fortalezapr·Sep 8, 2015",NA,0,0,0,0,Americans know more about the economical crisis in Greece than the one in Puerto Rico - @NYGovCuomo273,"2:20 PM · Sep 8, 2015",0,3,2,7,,@NYGovCuomo,2001761,0
economical crisis,"ceylan ozgul@ceylanozgul2017·Sep 1, 2015",NA,0,0,0,0,"And complaining about the rising number of homeless? Cannot afford to take refugees? Economical crisis?
@cjwerlemanQuote TweetJon Letman@jonletman · Aug 28, 2015$85 billion a year to maintain 800 US military bases and installations in over 70 countries around the world? #America needs to change this.2105","3:13 PM · Sep 1, 2015",0,5,2,10,,@cjwerleman,234121,0
economical crisis,"Tshepo PHAKOE@esteem_02733·Aug 5, 2015",NA,0,0,0,0,Replying to @KaldenOngmu@KaldenOngmu no no no look at the bigger picture we don't hv SA economical crisis we hv global economical crisis the is noway we can prosper1,"8:41 AM · Aug 5, 2015",0,0,0,1,,"@KaldenOngmu,@KaldenOngmu",11034,0
economical crisis,"Minilik Salsawi   @miniliksalsawi·Jul 26, 2015",NA,0,0,0,0,#ObamaEthiopia over 3 Millions Ethiopians have left #Ethiopia for the past 24 yrs since the country's Political & Economical crisis rise up33,"11:45 AM · Jul 26, 2015",0,3,0,3,"#ObamaEthiopia,#Ethiopia",,0,0
economical crisis,"hafiz hashim@hafizhash92·Jun 30, 2015",NA,0,0,0,0,"In 2013, Euro news predicted greece economical crisis to be on 2015 and global economical crisis on 2016. Greece is down. Is global next?","1:51 PM · Jun 30, 2015",0,0,0,0,,,0,0
economical crisis,"VLESP@VLESPtweet·Jun 19, 2015",NA,0,0,0,0,Ad Kerkhof: no direct link between unemployment & economical crisis. Persons with incapacity benefits are more vulnerable. #IASP201522,"2:24 PM · Jun 19, 2015",0,2,0,2,#IASP2015,,0,0
economical crisis,"Kateryna_Kruk@Kateryna_Kruk·Mar 4, 2015",NA,0,0,0,0,"Crimea,war in East,economical crisis,collapse of hryvnia.
and despite this MPs have time to fight in Rada.
I am ashamed of political""elites""41514","9:37 PM · Mar 4, 2015",0,14,4,15,,,0,0
economical crisis,"RT@RT_com·Jan 19, 2015",NA,0,0,0,0,EU to ‘do whatever it takes’ to save itself from economical crisis http://on.rt.com/j7p8ls123310,"5:09 PM · Jan 19, 2015",1,10,12,33,,,0,0
economical crisis,"Duke of Halfassery@quoll_marten·Dec 19, 2014",NA,0,0,0,0,Fuck another economical crisis. Fuck working on Saturday. Fuck Friday that isn't Friday. Fuckfuckfuck. #FursuitFriday335,"12:52 PM · Dec 19, 2014",1,5,3,3,#FursuitFriday,,0,0
economical crisis,"sabrina bianchi@sbia71·Oct 15, 2014",NA,0,0,0,0,#smartworking Vanhoutte @Plantronics 'the economical crisis forced us to innovate and to do more with less' @PianoC_Mi @RiccardaZ42,"10:15 AM · Oct 15, 2014",0,2,0,4,#smartworking,"@Plantronics,@PianoC_Mi,@RiccardaZ",45753,0
economical crisis,"federley@federley·Sep 29, 2014",NA,0,0,0,0,"""Trade is a very powerful tool to get out of the economical crisis. No country gets out of powerty without trade."" - @MalmstromEU #eupol162","1:27 PM · Sep 29, 2014",0,2,1,6,#eupol,@MalmstromEU,75514,0
economical crisis,"Dr. Khan@L0standDc·Sep 5, 2014",NA,0,0,0,0,Ishaq Dar Said . Marchers are responsible for Economical crisis in #Pakistan .. ullu da Pathaa. #Flood in #Pakistan who wrote the Script ?54,"2:24 PM · Sep 5, 2014",0,4,0,5,"#Pakistan,#Flood,#Pakistan",,0,0
economical crisis,"Nicholas Panizzolo@alcibiade·Jun 19, 2014",NA,0,0,0,0,Facebook is down. World exits from financial and economical crisis. #facebookdown32,"8:15 AM · Jun 19, 2014",0,2,0,3,#facebookdown,,0,0
economical crisis,"bonus@Josh_Bonus·Jun 15, 2014",NA,0,0,0,0,"Replying to @fIirtation“@fIirtation: why couldn't I be born into this era instead https://pic.twitter.com/QIOw8zaku0”
Racism, Sexism, War, Economical Crisis. I'll pass. 135","7:17 PM · Jun 15, 2014",0,5,1,3,,"@fIirtation,@fIirtation",0,0
economical crisis,"Eurodebates@eurodebates·Jun 10, 2014",NA,0,0,0,0,Peter Spiegel from FT at #BEF2014: Many see the situation as we would slip from economical crisis right into the political crisis in the EU13,"7:52 AM · Jun 10, 2014",0,3,0,1,#BEF2014,,0,0
economical crisis,"Wink Wine@RituRant·May 20, 2014",NA,0,0,0,0,"#ExpectationNo1 reducing prices , eradicating corruption, good governance, fighting economical crisis, providing uninterrupted power43","4:05 PM · May 20, 2014",0,3,0,4,#ExpectationNo1,,0,0
economical crisis,"Joachim Kurz@Mietgeist·May 20, 2014",NA,0,0,0,0,#Cannes2014 the Dardennes did a wonderful peace about solidarity im times of economical crisis #DeuxJoursUneNuit22,"8:08 AM · May 20, 2014",0,2,0,2,"#Cannes2014,#DeuxJoursUneNuit",,0,0
economical crisis,"!!श्रीराम@Diggi840·Apr 5, 2014",NA,0,0,0,0,Currently I am suffering economical crisis but yet giving 4 hours for AAP on own expenditure. Bhai desh Jo bachana hai Kaminose. #ModiVision62412,"6:19 PM · Apr 5, 2014",0,12,6,24,#ModiVision,,0,0
economical crisis,"Michele Tiraboschi@MicheTiraboschi·Mar 18, 2014",NA,0,0,0,0,#IRL2014 (next week) Chapter I: ECONOMICAL CRISIS AND LABOUR LAW REFORMS: MODELS AND SCENARIOS http://moodle.adaptland.it/pluginfile.php/12673/block_html/content/2012_ebook_vol_3.pdf…59,"7:18 AM · Mar 18, 2014",0,9,0,5,#IRL2014,,0,0
