Query,Date,user,Tweet,Img_present,Likes,commnets,retweet,tags,mentions,url_count,length,cosine_similarity(%)
netflix,7:17 am · 7 May 2020,Netflix Updates@Netflix_Updates,Ricky Gervais’ After Life Renewed for a Third Season at Netflix #Netflix #ComingSoon11,1,11,,,"#Netflix,#ComingSoon",,0,86,
netflix,7:08 am · 7 May 2020,Naman kumar Sharma@NK_Sharma_,"This whole skill, knowledge, fitness thing is for people who always complained about lack of time & r sitting at home watching netflix right now. Don't let these so called influencers tell u that it's okay not to be your best! #UtiliseLockdownWisely14",1,,,14,#UtiliseLockdownWisely,,0,251,
netflix,9:50 am · 7 May 2020,NK@N_X_M_L,"Back to the future rankings:

1>2>3

I don't see how this is actually debatable.

But, thank you @netflix for having all 3 BTTF's on.",1,,,,,@netflix,0,133,
netflix,9:25 am · 7 May 2020,Nimzaj@Nimzaj6669,I rate this Netflix documentary 1 bag of popcorn no soda. #TheTrialsOfGabrielFernandez,1,,,,#TheTrialsOfGabrielFernandez,,0,86,
netflix,9:23 am · 7 May 2020,Trench Times@TrenchTimes,"The documentary accompanying her 2018 memoir shows scenes from her upbringing, time in the White House, her book tour and more.
https://buff.ly/3bbnU4f
#Netflix #MichelleObama #TopOfMindNetflix's Becoming has Michelle Obama top of mind - Trench TimesThe documentary accompanying her 2018 memoir shows scenes from her upbringing, time in the White House, her book tour and more.trenchtimes.com",1,,,,"#Netflix,#MichelleObama,#TopOfMind",,3,392,
netflix,9:10 am · 7 May 2020,丂.尺.ズ योद्धा यूनिवर्स@YoddhaUniverse,"Netflix show #NeverHaveIEver actor Darren Barnet on SHAH RUKH KHAN:

@iamsrk G.O.A.T 0:15339 views1121",1,21,,11,#NeverHaveIEver,@iamsrk,0,102,
netflix,8:47 am · 7 May 2020,Sophie Edwards@docofagesSophie,"Have officially hit what we call ‘the lockdown slump’ (lethargy, irritability and a compulsion to watch endless Netflix) so had a #morningrun, green bathing & visit to my favourite tree..37",1,7,3,,#morningrun,,0,189,
netflix,8:43 am · 7 May 2020,avail to @PremssViolet@violetbackups,"NETFLIX PREMIUM 

 NO HOLD/ WIPEOUT
 UNLIMITED STREAMING
 UHD & OFFLINE DOWNLOAD
 FULL WARRANTY

SOLO ACCOUNT - 220PHP
RENEW ACCOUNT - 250PHP
SHARED ACCOUNT - 70PHP (NO ADD FEES) 

FAST TRANSACTION WITH @PremssViolet!! DM NOW. 

MOP: GCASH / GLOBE LOAD +30.1",0,1,,,,@PremssViolet,0,258,
netflix,7:21 am · 7 May 2020,Bella@Bmalou1,"You should hire me, coward @netflix",0,,,,,@netflix,0,35,
netflix,7:17 am · 7 May 2020,𝙲𝙶 𝚂𝚃𝙾𝚁𝙴 | 𝚌𝚑𝚎𝚊𝚙 𝚙𝚛𝚎𝚖𝚒𝚞𝚖 𝚊𝚌𝚌@cgstoreph, Netflix 1month sold thankyouu!1,0,,1,,,,0,32,
