Query,username,created_at,verified,followers_count,friends_count,listed_count,tweet,date,Img_present,likes,comments,retweets,tags,mentions,sum_followers_mention,url_count
4 Years of FAN,"Jack Jenkins@jackmjenkins·Jul 12, 2017",NA,0,0,0,0,Replying to @jackmjenkins4. AND did you know some members of the American Religious Right have been big fans of Putin for years?The emerging alliance between Putin and Trump’s God squadThe unlikely partnership is years in the making.thinkprogress.org674104,"12:42 PM · Jul 12, 2017",1,104,6,74,,@jackmjenkins,28894,2
4 Years of FAN,"Chamatkar Sandhu@SandhuMMA·Jul 6, 2017",NA,0,0,0,0,4 years ago today. I'll never forget seeing the eruption of joy from the US fans & the tears of sadness from the Brazilians inside the MGM.GIF27172362,"5:02 PM · Jul 6, 2017",1,362,27,172,,,0,0
4 Years of FAN,"Happy@itaengu·Jun 30, 2017",NA,0,0,0,0,"Thanks for the joy you brought me these past 4 years as a fan. I wish all of you happiness in the future, whatever you do  #Good7uckMissA2920","3:01 PM · Jun 30, 2017",0,20,0,29,#Good7uckMissA,,0,0
4 Years of FAN,"si6@dmay706·Jun 23, 2017",NA,0,0,0,0,"My goal is to be as obnoxious of a Sixer fan as possible. I was humble for 4 years, to hell with all of that.746126","8:18 PM · Jun 23, 2017",0,126,7,46,,,0,0
4 Years of FAN,"Shane Milburn@Sheepshufter·Jun 21, 2017",NA,0,0,0,0,"Life beyond Hughes, life beyond 4-3-3, life beyond fans favourites. Give GR time to build and purchase his men after years of #dcfc failure1249201","7:08 PM · Jun 21, 2017",0,201,12,49,#dcfc,,0,0
4 Years of FAN,"★@modernjty·Jun 20, 2017",NA,0,0,0,0,after 4 years of being a fan i'm finally going to see lorde live 15,"2:11 PM · Jun 20, 2017",0,15,0,0,,,0,0
4 Years of FAN,"Frogs O' War@FrogsOWar·Jun 16, 2017",NA,0,0,0,0,"Aggie fans making fun of the Froggy Style shirt makes me laugh…it's been there for the last 4 years, but they wouldn't know about that 535175","11:12 PM · Jun 16, 2017",0,175,5,35,,,0,0
4 Years of FAN,"Sammy Albon@SammyAlbon·Jun 13, 2017",NA,0,0,0,0,"4 years of bts

I've only been a fan for 2 years and they've come so far in that time

Imagine another 4! GIF716135","3:23 PM · Jun 13, 2017",1,135,7,16,,,0,0
4 Years of FAN,"megs@shawxmegan·Jun 12, 2017",NA,0,0,0,0,no one should lie about when they became a fan of shawn; we are all valued in the same way whether it was 4 years ago or yesterday2791,"4:32 PM · Jun 12, 2017",0,91,0,27,,,0,0
4 Years of FAN,"Stskotty@StSkotty·Jun 9, 2017",NA,0,0,0,0,@BenTTravers Hey big fan of yours 4 years. Also huge fan of The Leftovers and Handmaids Tale. Im looking 4 Ann Dowd & u came up. Is she on?,"2:19 AM · Jun 9, 2017",0,0,0,0,,@BenTTravers,4426,0
4 Years of FAN,"Real Madrid Info@RMadridInfo·Jun 5, 2017",NA,0,0,0,0,"Twt | @GarethBale11: 3  in 4 years, what a team to be part of! Thank you to all of the fans for their support 143105","3:26 PM · Jun 5, 2017",0,105,1,43,,@GarethBale11,18306945,0
4 Years of FAN,"Gareth Bale@GarethBale11·Jun 5, 2017",NA,0,0,0,0,"3  in 4 years, what a team to be part of! Thank you to all of the fans for their support this year  #HalaMadrid2035.4K18.5K","11:15 AM · Jun 5, 2017",0,18500,203,5400,#HalaMadrid,,0,0
4 Years of FAN,"OneRepublic Daily@1Rdaily·May 31, 2017",NA,0,0,0,0,It's been 4 years since the release of Counting Stars music video! How many of you became a fan after this hit?  https://youtube.com/watch?v=hT_nvWreIhg&feature=share…92372,"6:02 PM · May 31, 2017",0,72,9,23,,,0,1
4 Years of FAN,"Sydne Waldrop@SydneWaldrop·May 28, 2017",NA,0,0,0,0,"Forever an Auburn Tiger. Thank you fans, family and friends for supporting the dreams of 24 girls. I will never forget these last 4 years. 1625572","1:03 AM · May 28, 2017",0,572,16,25,,,0,0
4 Years of FAN,"𝕵𝖔𝖘𝖍@NerveOfJosh·May 27, 2017",NA,0,0,0,0,"Another reminder that ARTPOP was 4 years ahead of its time. Most of the fan bases that were trashing it then, now like that kind of musicGIF1732","12:45 AM · May 27, 2017",1,32,0,17,,,0,0
4 Years of FAN,"anh ↺˚* ❀@sxrenb·May 25, 2017",NA,0,0,0,0,#2YearsWithSEVENTEEN and 4 years of being a fan. i grew up with seventeen and will continue to support them for as long as i can129,"3:16 PM · May 25, 2017",0,9,0,12,#2YearsWithSEVENTEEN,,0,0
4 Years of FAN,"scarlett @scarlett__april·May 24, 2017",NA,0,0,0,0,Replying to @kristinaglavi and @rikerR5hopefully.... but it took 4 years of being a fan it'll probably be another 4 years 12,"5:46 PM · May 24, 2017",0,2,1,0,,"@kristinaglavi,@rikerR5",763,0
4 Years of FAN,"Ben Hillmon@BenHillmon·May 19, 2017",NA,0,0,0,0,"""Herrera isn't very good"" tweets can only come from a fan base that watched 4 years of Greg Holland and Wade Davis in their prime. #Royals3432","2:48 AM · May 19, 2017",0,32,3,4,#Royals,,0,0
4 Years of FAN,"Johnny Cash Museum@CashMuseum·Apr 26, 2017",NA,0,0,0,0,Happy Anniversary to us! Opened our doors 4 years ago today! Looking forward to many more years of greeting fans from around the globe!336124,"5:02 PM · Apr 26, 2017",1,124,3,36,,,0,0
4 Years of FAN,"Jamie@wiltybanter·Apr 23, 2017",NA,0,0,0,0,"Of course, but a record 7 FA cups and 3rd final in 4 years is the stuff of dreams for almost every fan, surely?1516","7:54 PM · Apr 23, 2017",0,16,1,5,,,0,0
4 Years of FAN,"Mads@Maddyp14·Apr 13, 2017",NA,0,0,0,0,"Middleton has the worst sportsmanship from players and fans that I've ever seen in my 4 years of watching us play against themQuote TweetMadison.com Sports@MadisonSport · Apr 13, 2017Prep notes: Middleton girls basketball team earns WIAA sportsmanship award http://host.madison.com/wsj/sports/high-school/prep-notes-middleton-girls-basketball-team-earns-wiaa-sportsmanship-award/article_e1bba78a-1cae-5537-835a-e91a0a872800.html…9134","8:50 PM · Apr 13, 2017",0,134,0,9,,,0,0
4 Years of FAN,"Spotify USA@SpotifyUSA·Apr 13, 2017",NA,0,0,0,0,"From fans to artists, @GreenDay has influenced an era. Watch all 4 chapters of “Green Day: The Early Years."" http://spoti.fi/2mt9dF6GIF143751.2K","7:19 PM · Apr 13, 2017",1,1200,14,375,,@GreenDay,5068761,1
4 Years of FAN,"FreshTunes@freshtunes·Apr 12, 2017",NA,0,0,0,0,"6 years ago over 1000 fans turned up at Camden's Barfly for an @edsheeran free gig, so he had to play 4 sets (one of which was outside)1170394","10:30 AM · Apr 12, 2017",1,394,1,170,,@edsheeran,18592382,0
4 Years of FAN,"Uttara Mimamsaka@UttaraMimamsaka·Apr 7, 2017",NA,0,0,0,0,"Fan of Putin 4 years; never been a fan of Syrians (xCept 4 SJobs) But I CONDEMN, in NO uncertain terms, his support 2 Chemical Bombers.Quote TweetThe New York Times@nytimes · Apr 7, 2017Russia reacted harshly to U.S. strikes in Syria, saying they would further corrode already dismal relations http://nyti.ms/2ofUA7R","10:21 AM · Apr 7, 2017",0,0,0,0,,,0,0
4 Years of FAN,"Sam Singer@samsinger123·Mar 15, 2017",NA,0,0,0,0,"Been an unbelievable 4 years. Thank you cal fans for being there every step of the way. Wouldn't change it for the worldQuote TweetCal Basketball@CalMBBall · Mar 15, 2017Thank You Seniors. 

#GoBears1228270","6:22 AM · Mar 15, 2017",0,270,12,28,,,0,0
4 Years of FAN,"Jake Garrison™@jake_garrison_7·Mar 9, 2017",NA,0,0,0,0,"Thank you to my teammates, coaches, fans, and the community for supporting us the last 4 years. This group of guys will always be family.122147","3:47 AM · Mar 9, 2017",1,147,1,22,,,0,0
4 Years of FAN,"dezirée@dtessierx·Mar 7, 2017",NA,0,0,0,0,"It's so weird, 4 years ago I was like one of the only faze fan girls. Now, they're everywhere 8666","10:40 PM · Mar 7, 2017",0,66,8,6,,,0,0
4 Years of FAN,"Tania Ganguli@taniaganguli·Mar 6, 2017",NA,0,0,0,0,I'm constantly impressed by Lakers fans. Team hasn't finished +.500 in 4 years & Staples is still one of the loudest arenas in the league.977193,"5:07 AM · Mar 6, 2017",0,193,9,77,,,0,0
4 Years of FAN,"Ethan Price@Paradox_EP·Mar 5, 2017",NA,0,0,0,0,"I'd like to thank every teammate, coach, manager, and fan who's been apart of these last 4 years. You've meant more to me than you know755","2:38 AM · Mar 5, 2017",0,55,0,7,,,0,0
4 Years of FAN,"A.Ene Jr@A_Enejr12·Mar 1, 2017",NA,0,0,0,0,Man it's been a hell of a season! Thanks to all the Creekview fans that helped us make history this is one for the books! 4 years of CHS  228162,"4:26 AM · Mar 1, 2017",0,162,2,28,,,0,0
4 Years of FAN,"vicky@IKTayWT·Feb 8, 2017",NA,0,0,0,0,"This is SO SO tragic

4 years without new music and the only thing her fans can think of is Taylor Swift12117183","4:51 PM · Feb 8, 2017",1,183,12,117,,,0,0
4 Years of FAN,"USE CODE 'HYPER'@DylanHyper·Feb 7, 2017",NA,0,0,0,0,"It's kinda weird to think about this.. but 4 years ago, I was a fan of some people I'm friends with today. Life is honestly so surprising4459","1:43 AM · Feb 7, 2017",0,59,4,4,,,0,0
4 Years of FAN,"Tom Colicchio@tomcolicchio·Feb 3, 2017",NA,0,0,0,0,After 15 years of making people happy we have decided to close craftbar. Lease is up and the rent is too damn high. TY to all our fans. 4/309739319,"4:51 PM · Feb 3, 2017",0,319,97,39,,,0,0
4 Years of FAN,"Jafar@JafarsBazaar·Feb 1, 2017",NA,0,0,0,0,Replying to @KevinNagleMLS @MegWhitman and @MLSDon't you dare think about dropping the name. 4 years of a strong fan base out the window if you do.2117,"1:35 AM · Feb 1, 2017",0,17,2,1,,"@KevinNagleMLS,@MegWhitman,@MLS",3509141,0
4 Years of FAN,"Sudesh Bhat@DRadioVoice·Jan 31, 2017",NA,0,0,0,0,3-4 years back watched this...!!!! And a FAN since then :) Congratulations @KicchaSudeep on completion of 21 yrs in Indian Cinema :)1:533.2K views1687380,"12:09 PM · Jan 31, 2017",1,380,16,87,,@KicchaSudeep,2360639,0
4 Years of FAN,"Amanda Brooke Perrin@brookeperrin·Jan 25, 2017",NA,0,0,0,0,"If I die in the next 4 years, spread my ashes in front of a fan that's blowing on the president.638","9:51 PM · Jan 25, 2017",0,38,0,6,,,0,0
4 Years of FAN,"alice@AliceC______·Jan 21, 2017",NA,0,0,0,0,@MartinGarrix is there any possibility to meet you in Paris with some friends? I'm a huge fan of you since 4 years! Please63250,"9:52 PM · Jan 21, 2017",0,50,6,32,,@MartinGarrix,8826126,0
4 Years of FAN,"Beau Brooks@BrooksBeau·Jan 19, 2017",NA,0,0,0,0,Mum kept all of our fan mail from 4/5 years ago. There are thousands of letters. I've decided I'll be reading them out to you guys.814241.4K,"3:06 AM · Jan 19, 2017",0,1400,81,424,,,0,0
