Query,Date,user,Tweet,Img_present,Likes,commnets,retweet,tags,mentions,url_count,length,cosine_similarity(%)
india vs australia wc t20 final,9:41 am · 8 Mar 2020,Manoj Agrawal@manoj_indore,"आज India vs Australia,Women's T20 WC Final है लेकिन मैच की कहीं कोई चर्चा नहीं है,किसी भी न्यूज़ चैनल पर डिबेट नहीं है, ना ही न्यूज़ पेपर के फ्रंट पेज पर ख़बर को स्थान दिया गया है, अगर यहीं फाइनल मैच mens cricket team का होता तो माहौल युद्ध जैसा बना दिया जाता।
#HappyWomensDay2020",0,7,,3,#HappyWomensDay2020,,0,280,14.535047493345276
india vs australia wc t20 final,9:00 am · 8 Mar 2020,FanCode@the_fancode," India vs Australia 
 Women’s T20 World Cup Final is just a few hours away!

Have you picked your side yet? Here’s a fantasy team from @1998Srikrishna for you: http://fancode.onelink.me/tTJR/WWT20Finaltw…
#TeamIndia #FanCode #INDWvAUSW #INDvAUS #AUSvIND #T20WorldCup #WWT20Final @BCCIWomen",0,4,,1,"#TeamIndia,#FanCode,#INDWvAUSW,#INDvAUS,#AUSvIND,#T20WorldCup,#WWT20Final","@1998Srikrishna,@BCCIWomen",3,289,28.306925853614896
india vs australia wc t20 final,8:49 am · 8 Mar 2020,pawan kumar@Pawan05258Kumar,ICC Women’s T20 World Cup Final India Vs Australia Match Preview – Womens T-20 WC Final: भारत ने इन कमियों को किया दूर तो ऑस्ट्रेलिया पर जीत है पक्की https://hindiwebworld.com/icc-womens-t20-world-cup-final-india-vs-australia-match-preview-womens-t-20-wc-final-%e0%a4%ad%e0%a4%be%e0%a4%b0%e0%a4%a4-%e0%a4%a8%e0%a5%87-%e0%a4%87%e0%a4%a8-%e0%a4%95%e0%a4%ae%e0%a4%bf%e0%a4%af/…,1,,,,,,1,374,27.855525926176867
india vs australia wc t20 final,8:37 pm · 7 Mar 2020,Raghav Sharma@RaghavS49394362,"Womens T20 WC: फाइनल के लिए पीएम मोदी ने खास अंदाज में भारतीय टीम को दी शुभकामना | Womens T20 Wrold Cup: Modi, Aus PM tweet ahead of final match between India vs Australia",1,,,,,,2,171,36.00411499115478
india vs australia wc t20 final,5:57 pm · 7 Mar 2020,Government News Online@GovernmentNews4,महिला टी-20 WC फाइनल से पहले ऑस्ट्रेलियाई PM से बोले मोदी- MCG भी कल ब्लू होगा – t20 world cup final india vs australia match pm modi tweet tspo,1,,,,,,2,144,31.622776601683793
india vs australia wc t20 final,7:33 pm · 6 Mar 2020,InsiderSpirit@InsiderSpirit,ICC Womens T20 WC Final india women vs australia women head to head and tournament record melbourne -,0,,,,,,2,101,53.45224838248488
india vs australia wc t20 final,4:38 pm · 6 Mar 2020,DT Next@dt_next,"Raza was due to officiate in India's washed-out semi-final with England, while his experience of India-Australia contests stretches back to the ICC Women's Cricket World Cup 2017 semi-final. #iccwomenst20worldcup #KimCotton #AhsanRaza #India #Australia",1,,,,"#iccwomenst20worldcup,#KimCotton,#AhsanRaza,#India,#Australia",,2,252,38.53373177942262
india vs australia wc t20 final,3:25 pm · 6 Mar 2020,TOI Cricket@TOICricket,"Kim Cotton, Ahsan Raza umpires for India vs Australia women's T20 WC final",1,,,,,,2,74,65.46536707079773
india vs australia wc t20 final,1:20 am · 6 Mar 2020,Messi FC@ultramessiii,"Another Heart break awaits on Sunday  as we (India) face Australia in the Final World T20..it's nothing new and we Move on.. #INDvsAUS #WT20WC #Finals From 
Barca vs Liverpool Semis
CSK vs MI Final
Ind Vs NZ WC Semis
Ind Vs Bangladesh U19WC Final 
to Ind vs Aus WT20 final",0,2,1,,"#INDvsAUS,#WT20WC,#Finals",,0,272,54.16666666666667
india vs australia wc t20 final,6:28 pm · 5 Mar 2020,The Quint@TheQuint,"#AUSvSA | With the win, Australia advanced to their sixth successive final out of the seven editions held so far.",1,5,,,#AUSvSA,,2,113,17.817416127494962
india vs australia wc t20 final,6:06 pm · 5 Mar 2020,allsportspkoffical@allsportspkcom,"Cricket-ICC Women’s T20 World Cup ’20: Australia Vs India Final
#ICC #AUSVSIND #T20 #WC",1,,,,"#ICC,#AUSVSIND,#T20,#WC",,2,87,63.90096504226938
india vs australia wc t20 final,3:57 pm · 4 Mar 2020,Rishabh@Rishabh22281907,Replying to @HitmanCricket,0,,,,,@HitmanCricket,0,26,0.0
india vs australia wc t20 final,9:26 am · 7 Mar 2020,Pmwebsolution@Pmwebsolution3,"T20 Wc Final 2020: Kim Cotton And Ahsan Raza Umpires For India Vs Australia – हो गया एलान, भारत-ऑस्ट्रेलिया के बीच महिला विश्व कप के फाइनल में ये होंगे अंपायर",1,,,,,,2,158,33.33333333333333
