Query,Date,user,Tweet,Img_present,Likes,commnets,retweet,tags,mentions,url_count,length
MayThe4thBeWithYou,"12:17 AM · May 9, 2019",Annalise Ophelian@Dr_Ophelian,"Ok wait, it gets so much better. Our niece @Bell_blue sent the MOST glorious #MayThe4thBeWithYou care package! T-shirts & Black Series Hoth Leia & tiny stuffie Qi’ra! I’m the luckiest Auntie ever.138",0,38,,1,#MayThe4thBeWithYou,@Bell_blue,0,199
MayThe4thBeWithYou,"2:39 PM · May 8, 2019",Liferson Molinari @cloudcoole,Something I made very late! #MayThe4th #MayThe4thBeWithYou #MaytheFourthBeWithYou #pixelart #StarWarsDay #StarWarsCelebration #queenamidala #ahsokatano #bb8 #c3po #shaakti #aaylasecura #kaminoan #rey #luminara #kitfisto #yoda643,0,43,,6,"#MayThe4th,#MayThe4thBeWithYou,#MaytheFourthBeWithYou,#pixelart,#StarWarsDay,#StarWarsCelebration,#queenamidala,#ahsokatano,#bb8,#c3po,#shaakti,#aaylasecura,#kaminoan,#rey,#luminara,#kitfisto,#yoda",,0,228
MayThe4thBeWithYou,"1:49 PM · May 8, 2019",@BevEve #StayHome #RemoteWork@BevEve,"I waited ALL year to post this on #MayThe4th .. and then forgot #smh 

Still a classic though
#StarWars #MaytheFourthBeWithYou #MayThe4thBeWithYou #CloudComputing #cloud #CloudNative #TMFDigital #TMFDigital2019 @_TechMode732148",0,148,7,32,"#MayThe4th,#smh,#StarWars,#MaytheFourthBeWithYou,#MayThe4thBeWithYou,#CloudComputing,#cloud,#CloudNative,#TMFDigital,#TMFDigital2019",@_TechMode,0,227
MayThe4thBeWithYou,"8:45 PM · May 7, 2019",Aaron De La Rosa@UR_CoachDeLa,It’s been a busy few days but very proud to announce that my beautiful wife gave birth to Emily Mae De La Rosa 5/4/19 (May the Forth be with you ) enjoying our newest addition! #redlands #girldad #MayThe4thBeWithYou2276,0,76,2,2,"#redlands,#girldad,#MayThe4thBeWithYou",,0,219
MayThe4thBeWithYou,"2:20 PM · May 6, 2019",Pixel Girl Slays. Lil Mau @PixelGirlPlays,"A huge congratulations to @Mummy2aRockStar @pkmmpositivity @replicantpinky @Muskelsmurf @GLCRMI @scottnet2 for winning the #MayThe4thBeWithYou competition. 
I have sent you all a Dm 5416",0,16,5,4,#MayThe4thBeWithYou,"@Mummy2aRockStar,@pkmmpositivity,@replicantpinky,@Muskelsmurf,@GLCRMI,@scottnet2",0,186
MayThe4thBeWithYou,"12:10 PM · May 6, 2019",Brendan Griffin@BGriffinTD,"Yet another classic from @valphoto - @davidgeaney94 & An Fear Marbh!
Thanks & well done all on a brilliant #Maythe4thBeWithYou Festival!2949",0,49,2,9,#Maythe4thBeWithYou,"@valphoto,@davidgeaney94",0,140
MayThe4thBeWithYou,"11:50 AM · May 6, 2019",Portmagee Whiskey@PortmageeWhisky,Fantastic #MayThe4thBeWithYou Festival this weekend and delighted to host it in #Portmagee and #Valentia. For next year this will be the view from our Micro Distillery and Visitor Experience. Looking forward to welcoming you here.1821,0,21,1,8,"#MayThe4thBeWithYou,#Portmagee,#Valentia",,0,234
MayThe4thBeWithYou,"8:14 AM · May 6, 2019",(Un)Skilled struggler@reituH2O,"A birthday girl giving the flora what it wants. Twerking for the fauna. Basically, it is I an #ecowarrier #MayThe4thBeWithYou314",0,14,,3,"#ecowarrier,#MayThe4thBeWithYou",,0,128
MayThe4thBeWithYou,"7:14 AM · May 6, 2019",James Floyd@jamesjawa,"Approaching Skellig Michael on our boat yesterday. So beautiful! From early Christian monks to Jedi Masters, it's a great place to be a hermit! #WildAtlanticWay #MayThe4thBeWithYou0:14510 views1631",1,31,1,6,"#WildAtlanticWay,#MayThe4thBeWithYou",,0,197
MayThe4thBeWithYou,"6:20 AM · May 6, 2019",Alex Milne@markerguru,"A bit late or #MayThe4thBeWithYou but it was a busy weekend.
Anyhoo, I wanted to finish it all the same.
A Rogue One Shoretrooper. 
This and the Tanktrooper are my favourite additions to the #StarWars
franchise.327229",0,229,3,27,"#MayThe4thBeWithYou,#StarWars",,0,217
